"['Moviename', 'Userscore', 'Author']"
synecdoche-new-york,10,StevenF
my-best-friends-girl,8,TheQuietGamer
synecdoche-new-york,10,Spangle
quarantine,7,TheQuietGamer
twilight,7,TheQuietGamer
milk,8,Spangle
burn-after-reading,10,StevenF
milk,8,Compi24
let-the-right-one-in,8,Spangle
the-dark-knight,10,Compi24
wall-e,9,SEROJ
let-the-right-one-in,8,Compi24
the-dark-knight,10,BrianMcCritic
death-race,8,TheQuietGamer
rachel-getting-married,9,Spangle
horton-hears-a-who!,7,MovieGuys
get-smart,9,MovieGuys
saw-v,8,TheQuietGamer
star-wars-the-clone-wars,7,TheQuietGamer
kung-fu-panda,8,MovieGuys
the-forbidden-kingdom,8,TheQuietGamer
the-forbidden-kingdom,7,Compi24
the-love-guru,9,TheQuietGamer
the-fall,7,Thegodfatherson
nims-island,7,MovieGuys
hellboy-ii-the-golden-army,8,Spangle
hellboy-ii-the-golden-army,8,Compi24
the-counterfeiters,9,Nesbitt10
shotgun-stories,8,Nesbitt10
bankjob,8,MovieGuys
21,7,MovieGuys
in-bruges,9,StevenF
in-bruges,8,Spangle
cassandras-dream,7,Spangle
in-bruges,8,Compi24
burn-after-reading,8,Spangle
control,7,Spangle
burn-after-reading,8,MovieGuys
in-the-name-of-the-king-a-dungeon-siege-tale,7,TheQuietGamer
the-savages,8,Spangle
sex-and-the-city,7,Thegodfatherson
vantage-point,7,TheQuietGamer
vantage-point,7,Thegodfatherson
the-savages,7,Compi24
juno,8,Spangle
lars-and-the-real-girl,8,Spangle
the-orphanage,9,Spangle
lars-and-the-real-girl,8,Compi24
the-mist,7,Spangle
there-will-be-blood,9,Spangle
there-will-be-blood,10,MovieGuys
enchanted,7,MovieGuys
underdog,7,TheQuietGamer
there-will-be-blood,10,StevenF
gone-baby-gone,10,StevenF
gone-baby-gone,9,Spangle
live-free-or-die-hard,10,MovieGuys
gone-baby-gone,8,Compi24
there-will-be-blood,10,Compi24
there-will-be-blood,10,BrianMcCritic
the-kingdom,7,MovieGuys
oceans-thirteen,8,Bruce722
oceans-thirteen,7,MovieGuys
atonement,8,Spangle
hairspray,7,MovieGuys
grindhouse,9,Thegodfatherson
stardust,7,Compi24
eastern-promises,8,Spangle
hostel-part-ii,7,TheQuietGamer
triad-election,9,Nesbitt10
gracie,8,MovieGuys
sweeney-todd-the-demon-barber-of-fleet-street,10,StevenF
sweeney-todd-the-demon-barber-of-fleet-street,8,Spangle
sweeney-todd-the-demon-barber-of-fleet-street,7,Compi24
sweeney-todd-the-demon-barber-of-fleet-street,9,BrianMcCritic
the-ultimate-gift,9,TheQuietGamer
pathfinder,9,TheQuietGamer
tmnt,8,SEROJ
once,10,StevenF
fracture,7,Spangle
once,7,Spangle
the-lives-of-others,10,Nesbitt10
blades-of-glory,7,Compi24
the-lives-of-others,8,Spangle
shooter,10,Thegodfatherson
shooter,8,Bruce722
shooter,8,Compi24
disturbia,7,MovieGuys
the-bourne-ultimatum,8,Spangle
harry-potter-and-the-order-of-the-phoenix,9,StevenF
the-last-of-the-mohicans,7,Compi24
the-last-of-the-mohicans,7,Spangle
the-bourne-ultimatum,10,Compi24
harry-potter-and-the-order-of-the-phoenix,9,Bruce722
the-bourne-ultimatum,9,MovieGuys
the-simpsons-movie,7,Compi24
breach,7,Spangle
breach,8,MovieGuys
28-weeks-later,9,TheQuietGamer
the-simpsons-movie,8,SEROJ
harry-potter-and-the-order-of-the-phoenix,8,Spangle
the-good-german,8,Spangle
letters-from-iwo-jima,9,Compi24
the-simpsons-movie,8,MovieGuys
the-host,8,Spangle
big,7,Spangle
big,8,MovieGuys
deliver-us-from-evil,9,Nesbitt10
hot-fuzz,9,TheQuietGamer
ghost-rider,7,TheQuietGamer
hot-fuzz,9,StevenF
the-painted-veil,8,Spangle
300,10,Thegodfatherson
hot-fuzz,8,Spangle
pans-labyrinth,10,Nesbitt10
ratatouille,10,StevenF
ratatouille,8,Spangle
alpha-dog,7,SEROJ
ratatouille,7,Compi24
ratatouille,7,SEROJ
ratatouille,10,MovieGuys
casino-royale,10,MovieGuys
night-at-the-museum,9,TheQuietGamer
night-at-the-museum,7,BrianMcCritic
flushed-away,9,TheQuietGamer
the-prestige,8,Spangle
a-guide-to-recognizing-your-saints,9,StevenF
night-at-the-museum,7,MovieGuys
13-tzameti,8,Nesbitt10
the-departed,9,Spangle
dreamgirls,7,Spangle
dreamgirls,8,SEROJ
the-queen,7,Spangle
apocalypto,8,Spangle
apocalypto,8,Compi24
marie-antoinette,9,StevenF
the-fountain,10,Spangle
the-fountain,10,Thegodfatherson
half-nelson,8,Spangle
jackass-number-two,7,TheQuietGamer
there-will-be-blood,9,Nesbitt10
blood-diamond,8,Spangle
there-will-be-blood,8,Thegodfatherson
blood-diamond,9,Compi24
blood-diamond,10,Thegodfatherson
blood-diamond,10,SEROJ
barnyard,10,SEROJ
blood-diamond,7,MovieGuys
talladega-nights-the-ballad-of-ricky-bobby,9,StevenF
rocky-balboa,8,MovieGuys
the-prestige,9,StevenF
an-inconvenient-truth,7,Compi24
marie-antoinette,8,Spangle
the-prestige,9,BrianMcCritic
the-prestige,9,SEROJ
scoop,8,Spangle
the-prestige,8,MovieGuys
transformers,7,StevenF
pans-labyrinth,10,TheQuietGamer
transformers,10,Bruce722
spider-man-3,7,MovieGuys
superman-returns,8,MovieGuys
the-devil-wears-prada,8,Spangle
an-inconvenient-truth,7,TheQuietGamer
click,9,TheQuietGamer
ice-age-the-meltdown,10,SEROJ
the-devil-wears-prada,8,Thegodfatherson
garfield-a-tail-of-two-kitties,7,SEROJ
transformers,8,MovieGuys
an-inconvenient-truth,8,MovieGuys
talladega-nights-the-ballad-of-ricky-bobby,9,TheQuietGamer
curious-george,7,MovieGuys
talladega-nights-the-ballad-of-ricky-bobby,8,Compi24
the-descent,8,Spangle
lady-vengeance,8,Nesbitt10
talladega-nights-the-ballad-of-ricky-bobby,9,BrianMcCritic
over-the-hedge,9,MovieGuys
a-prairie-home-companion,7,Spangle
district-b13,9,TheQuietGamer
the-fast-and-the-furious-tokyo-drift,8,Bruce722
the-proposition,8,Nesbitt10
the-proposition,10,miketheecowboy
click,8,MovieGuys
the-wild,8,TheQuietGamer
district-b13,7,Nesbitt10
jacobs-ladder,7,Spangle
jacobs-ladder,7,Compi24
lucky-number-slevin,7,StevenF
akeelah-and-the-bee,7,MovieGuys
the-roost,8,TheQuietGamer
lucky-number-slevin,8,SEROJ
thank-you-for-smoking,8,Spangle
find-me-guilty,7,Spangle
silent-hill,7,TheQuietGamer
babel,8,Spangle
babel,8,Compi24
babel,7,Thegodfatherson
babel,9,MovieGuys
the-pink-panther,9,TheQuietGamer
the-matador-2005,7,Compi24
cheaper-by-the-dozen-2,9,TheQuietGamer
the-benchwarmers,9,TheQuietGamer
the-pink-panther,7,MovieGuys
16-blocks,7,MovieGuys
kiss-kiss-bang-bang,7,TheQuietGamer
kiss-kiss-bang-bang,10,StevenF
kiss-kiss-bang-bang,8,Spangle
hoodwinked!,7,MovieGuys
kiss-kiss-bang-bang,10,Compi24
united-93,9,Compi24
united-93,10,MovieGuys
date-movie,7,TheQuietGamer
grandmas-boy,9,TheQuietGamer
howls-moving-castle,10,SEROJ
just-friends,8,Compi24
harry-potter-and-the-goblet-of-fire,10,TheQuietGamer
the-prize-winner-of-defiance-ohio,7,Spangle
white-king-red-rubber-black-death,8,MovieGuys
yours-mine-and-ours,7,TheQuietGamer
chicken-little,7,MovieGuys
doom,8,TheQuietGamer
capote,8,Spangle
capote,10,MovieGuys
munich,7,Spangle
hostel,7,TheQuietGamer
jarhead,8,StevenF
jarhead,8,Compi24
jarhead,9,MovieGuys
wedding-crashers,7,StevenF
wedding-crashers,7,Compi24
madagascar,7,MovieGuys
bollywoodhollywood,8,Thegodfatherson
cinderella-man,10,Compi24
the-polar-express,7,MovieGuys
grizzly-man,8,Spangle
wallace-gromit-the-curse-of-the-were-rabbit,7,MovieGuys
pans-labyrinth,9,Spangle
pans-labyrinth,8,Compi24
corpse-bride,8,Spangle
cinderella-man,8,Spangle
cinderella-man,7,MovieGuys
kicking-screaming,7,TheQuietGamer
star-wars-episode-iii---revenge-of-the-sith,8,MovieGuys
batman-forever,9,TheQuietGamer
batman-begins,9,TheQuietGamer
ben-hur-1959,9,Spangle
batman-begins,10,Compi24
batman-begins,9,BrianMcCritic
kingdom-of-heaven,7,Spangle
the-longest-yard,9,TheQuietGamer
star-wars-episode-iii---revenge-of-the-sith,9,TheQuietGamer
toy-story,9,Compi24
toy-story,8,shiftworker
sin-city,9,MovieGuys
the-deer-hunter,9,Spangle
war-of-the-worlds,8,Spangle
war-of-the-worlds,8,Compi24
guess-who,7,TheQuietGamer
sin-city,9,TheQuietGamer
million-dollar-baby,8,Compi24
downfall,7,Compi24
serenity,10,Bruce722
harry-potter-and-the-goblet-of-fire,8,StevenF
constantine,8,Spangle
the-40-year-old-virgin,8,StevenF
harry-potter-and-the-goblet-of-fire,8,Bruce722
the-pacifier,9,TheQuietGamer
downfall,9,Spangle
the-40-year-old-virgin,7,Spangle
the-40-year-old-virgin,10,Compi24
oldboy,9,Nesbitt10
toy-story,10,StevenF
coach-carter,7,Spangle
hitch,7,Spangle
the-machinist,9,MovieGuys
father-of-the-bride,7,StevenF
the-machinist,8,StevenF
beyond-the-sea-2004,7,MovieGuys
the-aviator,10,Thegodfatherson
sin-city,10,StevenF
the-aviator,8,Spangle
harry-potter-and-the-goblet-of-fire,9,SEROJ
the-machinist,7,Spangle
sin-city,9,Nesbitt10
the-aviator,7,MovieGuys
million-dollar-baby,8,Spangle
the-machinist,7,Nesbitt10
the-merchant-of-venice,8,Apemonkey666
million-dollar-baby,9,MovieGuys
national-treasure,10,MovieGuys
the-aviator,7,Compi24
star-wars-episode-iii---revenge-of-the-sith,7,Spangle
star-wars-episode-iii---revenge-of-the-sith,8,SEROJ
pocahontas,7,MovieGuys
charlie-and-the-chocolate-factory,9,StevenF
the-celebration,8,Spangle
the-life-aquatic-with-steve-zissou,9,Spangle
the-life-aquatic-with-steve-zissou,7,Compi24
red-eye,7,StevenF
charlie-and-the-chocolate-factory,8,Spangle
the-godfather-part-ii,10,Spangle
the-godfather-part-ii,9,Compi24
the-godfather-part-ii,10,MovieGuys
spanglish,8,TheQuietGamer
orgazmo,7,TheQuietGamer
hustle-flow,7,Spangle
apollo-13,10,Compi24
the-woodsman,9,StevenF
primer,9,Spangle
the-phantom-of-the-opera,8,Spangle
apollo-13,8,Spangle
batman-begins,10,Bruce722
finding-neverland,9,Spangle
finding-neverland,7,Compi24
night-of-the-living-dead,9,TheQuietGamer
hoosiers,8,Spangle
lord-of-war,10,MovieGuys
broken-flowers,8,Spangle
lord-of-war,7,Compi24
walk-the-line,10,StevenF
batman-begins,7,MovieGuys
walk-the-line,10,Compi24
hotel-rwanda,9,Spangle
hotel-rwanda,8,Compi24
hotel-rwanda,10,MovieGuys
bean,7,MovieGuys
the-spongebob-squarepants-movie,7,MovieGuys
the-incredibles,10,StevenF
saw,8,MovieGuys
the-notebook,8,Thegodfatherson
the-incredibles,8,Compi24
october-sky,9,Compi24
the-incredibles,10,MovieGuys
october-sky,8,Spangle
raging-bull,8,Spangle
avp-alien-vs-predator,7,TheQuietGamer
raging-bull,7,MovieGuys
friday-night-lights,8,Compi24
troy,7,Thegodfatherson
the-incredibles,10,shiftworker
ray,8,Spangle
the-twilight-samurai,8,JLuis_001
anacondas-the-hunt-for-the-blood-orchid,7,TheQuietGamer
open-water,8,TheQuietGamer
sideways,7,Spangle
scent-of-a-woman,9,SEROJ
anchorman-the-legend-of-ron-burgundy,8,TheQuietGamer
the-constant-gardener,8,Spangle
saw-ii,9,TheQuietGamer
scent-of-a-woman,8,Spangle
scent-of-a-woman,8,MovieGuys
resident-evil-apocalypse,7,TheQuietGamer
scent-of-a-woman,9,Compi24
king-arthur,7,Spangle
the-village,8,BrianMcCritic
paradise-now,8,Nesbitt10
garden-state,7,Compi24
collateral,10,Compi24
garden-state,10,MovieGuys
shaun-of-the-dead,9,TheQuietGamer
collateral,7,Spangle
collateral,7,Nesbitt10
collateral,8,MovieGuys
the-bourne-supremacy,8,MovieGuys
walk-the-line,7,Spangle
dodgeball-a-true-underdog-story,8,TheQuietGamer
anchorman-the-legend-of-ron-burgundy,10,Compi24
the-chronicles-of-riddick,7,TheQuietGamer
i-robot,8,Spangle
anchorman-the-legend-of-ron-burgundy,8,MovieGuys
the-bourne-supremacy,7,Spangle
the-terminal,7,Spangle
short-cuts,9,Spangle
the-terminal,8,SEROJ
dodgeball-a-true-underdog-story,8,Compi24
the-bourne-supremacy,9,Compi24
hero,9,Spangle
elf,10,Compi24
the-chronicles-of-riddick,7,Bruce722
dawn-of-the-dead,9,TheQuietGamer
philadelphia,8,MovieGuys
shaun-of-the-dead,7,Spangle
pride-prejudice,8,Spangle
elf,7,MovieGuys
a-cinderella-story,7,SEROJ
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,10,Nesbitt10
shaun-of-the-dead,9,StevenF
born-on-the-fourth-of-july,8,Spangle
philadelphia,9,Compi24
born-on-the-fourth-of-july,7,MovieGuys
ed-wood,8,Spangle
before-sunset,8,Spangle
spider-man-2,10,StevenF
before-sunset,9,Thegodfatherson
the-manchurian-candidate,7,Spangle
the-manchurian-candidate,8,Compi24
spider-man-2,9,TheQuietGamer
harry-potter-and-the-prisoner-of-azkaban,9,TheQuietGamer
ed-wood,8,MovieGuys
the-squid-and-the-whale,8,Spangle
spider-man-2,10,MovieGuys
mulan,7,MovieGuys
harry-potter-and-the-prisoner-of-azkaban,10,StevenF
spider-man-2,9,Compi24
harry-potter-and-the-prisoner-of-azkaban,7,Bruce722
napoleon-dynamite,10,TheQuietGamer
harry-potter-and-the-prisoner-of-azkaban,7,Spangle
dawn-of-the-dead,7,Spangle
shrek-2,8,Compi24
home-on-the-range,7,MovieGuys
star-wars-episode-vi---return-of-the-jedi,8,TheQuietGamer
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,10,StevenF
harry-potter-and-the-prisoner-of-azkaban,8,SEROJ
star-wars-episode-iv---a-new-hope,10,TheQuietGamer
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,8,Spangle
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,7,Compi24
super-size-me,8,Compi24
super-size-me,9,StevenF
super-size-me,8,MovieGuys
get-rich-or-die-tryin,9,Thegodfatherson
star-wars-episode-iv---a-new-hope,9,MovieGuys
the-day-after-tomorrow,7,MovieGuys
mean-girls,8,Spangle
videodrome,8,Spangle
after-hours,7,Spangle
suspicion,8,Spangle
mean-girls,7,SEROJ
suspicion,8,JLuis_001
the-punisher,9,Bruce722
the-ladykillers,7,Spangle
resident-evil,8,TheQuietGamer
napoleon-dynamite,10,Compi24
the-punisher,7,Compi24
dawn-of-the-dead-1979,8,Spangle
the-devils-advocate,7,Thegodfatherson
crimson-tide,7,Spangle
the-devils-advocate,8,Spangle
star-wars-episode-v---the-empire-strikes-back,9,TheQuietGamer
crimson-tide,10,Compi24
hidalgo,9,TheQuietGamer
star-wars-episode-v---the-empire-strikes-back,8,Spangle
baadasssss!,8,Spangle
star-wars-episode-v---the-empire-strikes-back,8,Compi24
hellboy,8,Compi24
kill-bill-vol-2,10,StevenF
the-punisher,9,TheQuietGamer
star-wars-episode-vi---return-of-the-jedi,9,Spangle
star-wars-episode-v---the-empire-strikes-back,7,SEROJ
eternal-sunshine-of-the-spotless-mind,10,StevenF
star-wars-episode-vi---return-of-the-jedi,8,SEROJ
hellboy,9,TheQuietGamer
star-wars-episode-v---the-empire-strikes-back,9,MovieGuys
the-dreamers,8,MovieGuys
hellboy,7,Spangle
cold-mountain,8,Spangle
bad-santa,7,MovieGuys
50-first-dates,9,TheQuietGamer
the-passion-of-the-christ,9,TheQuietGamer
the-butterfly-effect,7,Compi24
kill-bill-vol-2,7,Spangle
the-passion-of-the-christ,9,Spangle
star-wars-episode-iv---a-new-hope,9,Compi24
bubba-ho-tep,9,TheQuietGamer
club-dread,7,SEROJ
kill-bill-vol-2,7,MovieGuys
star-wars-episode-iv---a-new-hope,7,SEROJ
the-company,7,Spangle
monster,7,Spangle
city-of-god,8,Spangle
city-of-god,10,MovieGuys
mystic-river,8,Spangle
casino-royale,10,StevenF
the-son,9,Nesbitt10
casino-royale,8,Spangle
a-history-of-violence,8,Spangle
independence-day,8,Spangle
a-history-of-violence,8,Compi24
independence-day,7,MovieGuys
casino-royale,10,Compi24
scary-movie-3,8,TheQuietGamer
3-women,8,Spangle
eternal-sunshine-of-the-spotless-mind,9,Spangle
kill-bill-vol-1,9,StevenF
love-actually,7,Compi24
house-of-sand-and-fog,8,Compi24
love-actually,7,Spangle
eternal-sunshine-of-the-spotless-mind,8,Compi24
love-actually,8,shiftworker
house-of-sand-and-fog,7,Spangle
miracle,8,Compi24
shattered-glass,8,Spangle
cheaper-by-the-dozen,9,TheQuietGamer
big-fish,8,Spangle
21-grams,10,MovieGuys
the-rundown,9,TheQuietGamer
dirty-pretty-things,8,Spangle
master-and-commander-the-far-side-of-the-world,7,Spangle
big-fish,7,Compi24
big-fish,9,BrianMcCritic
running-scared,10,Thegodfatherson
the-last-samurai,8,Spangle
the-last-samurai,8,SEROJ
21-grams,9,Spangle
the-last-samurai,9,MovieGuys
kill-bill-vol-1,8,MovieGuys
the-school-of-rock,8,Spangle
matchstick-men,8,Spangle
looney-tunes-back-in-action,9,TheQuietGamer
dummy,9,Compi24
dickie-roberts-former-child-star,7,TheQuietGamer
spy-kids-3-d-game-over,9,Thegodfatherson
runaway-jury,7,Compi24
match-point,8,Compi24
runaway-jury,7,MovieGuys
the-matrix-revolutions,9,Apemonkey666
the-lord-of-the-rings-the-return-of-the-king,10,StevenF
kill-bill-vol-1,7,Spangle
the-negotiator,8,MovieGuys
kill-bill-vol-1,9,Nesbitt10
midnight-in-the-garden-of-good-and-evil,7,Spangle
the-negotiator,7,Spangle
x-men-the-last-stand,7,StevenF
intolerable-cruelty,7,Spangle
contact,7,Spangle
once-upon-a-time-in-mexico,8,Thegodfatherson
open-range,7,Compi24
open-range,8,Spangle
the-school-of-rock,8,MovieGuys
house-of-the-dead,7,TheQuietGamer
the-departed,10,StevenF
johnny-english,8,TheQuietGamer
cabin-fever,7,TheQuietGamer
johnny-english,7,Compi24
freddy-vs-jason,7,TheQuietGamer
schindlers-list,10,SEROJ
the-hidden-blade,8,JLuis_001
schindlers-list,9,MovieGuys
the-departed,8,Compi24
monster-house,7,MovieGuys
northfork,7,StevenF
body-heat,9,MovieGuys
the-departed,9,Thegodfatherson
cure,8,Nesbitt10
the-departed,8,SEROJ
swat,7,Bruce722
american-wedding,7,MovieGuys
swat,7,Thegodfatherson
body-heat,8,Spangle
the-departed,10,MovieGuys
kiss-the-girls,7,MovieGuys
seabiscuit,8,Compi24
the-league-of-extraordinary-gentlemen,8,TheQuietGamer
bruce-almighty,10,SEROJ
bruce-almighty,7,StevenF
bad-boys-ii,10,Thegodfatherson
lost-in-translation,10,StevenF
lost-in-translation,7,Spangle
once-upon-a-time-in-the-west,9,Spangle
naked-lunch,9,Spangle
v-for-vendetta,9,TheQuietGamer
pusher-ii-with-blood-on-my-hands,8,Nesbitt10
eight-crazy-nights,9,TheQuietGamer
the-lord-of-the-rings-the-return-of-the-king,9,Compi24
finding-nemo,10,MovieGuys
inside-man,7,Spangle
the-lord-of-the-rings-the-return-of-the-king,10,Spangle
inside-man,8,Thegodfatherson
terminator-3-rise-of-the-machines,8,TheQuietGamer
the-lord-of-the-rings-the-return-of-the-king,8,MovieGuys
inside-man,7,shiftworker
merry-christmas,8,Spangle
hidden,9,Nesbitt10
pirates-of-the-caribbean-the-curse-of-the-black-pearl,9,StevenF
the-matrix-reloaded,7,StevenF
the-matrix-reloaded,7,Compi24
raiders-of-the-lost-ark,9,Compi24
indiana-jones-and-the-temple-of-doom,7,Spangle
mrs-doubtfire,8,Compi24
indiana-jones-and-the-temple-of-doom,8,MovieGuys
terminator-3-rise-of-the-machines,7,Spangle
mrs-doubtfire,7,Spangle
the-italian-job,9,MovieGuys
raiders-of-the-lost-ark,10,MovieGuys
mrs-doubtfire,8,MovieGuys
a-christmas-story,8,MovieGuys
gattaca,8,Spangle
28-days-later,10,TheQuietGamer
pirates-of-the-caribbean-the-curse-of-the-black-pearl,8,Spangle
owning-mahowny,7,Spangle
owning-mahowny,8,Nesbitt10
pirates-of-the-caribbean-the-curse-of-the-black-pearl,7,Compi24
cronos,8,TheQuietGamer
cronos,9,Spangle
pirates-of-the-caribbean-the-curse-of-the-black-pearl,8,SEROJ
gattaca,8,Nesbitt10
a-christmas-story,10,Compi24
the-italian-job,7,Spangle
the-matrix-reloaded,9,Apemonkey666
sleepless-in-seattle,7,Spangle
pirates-of-the-caribbean-the-curse-of-the-black-pearl,10,MovieGuys
28-days-later,8,Spangle
28-days-later,8,Compi24
gattaca,8,Compi24
mission-impossible-iii,7,Spangle
anger-management,9,TheQuietGamer
28-days-later,7,MovieGuys
finding-nemo,10,Compi24
mission-impossible-iii,8,BrianMcCritic
2-fast-2-furious,8,Bruce722
finding-nemo,8,SEROJ
mission-impossible-iii,7,MovieGuys
wag-the-dog,8,Spangle
holes,7,MovieGuys
miami-vice,10,Bruce722
twelve-monkeys,10,MovieGuys
identity,8,Spangle
jumanji,7,BrianMcCritic
twelve-monkeys,8,Spangle
serpico,7,Spangle
serpico,9,MovieGuys
raiders-of-the-lost-ark,7,Spangle
bowling-for-columbine,9,StevenF
hard-eight,7,Spangle
hard-eight,7,JLuis_001
spider,8,Spangle
the-quiet-american,8,Spangle
halloween-1978,10,Thegodfatherson
event-horizon,8,TheQuietGamer
chicago,7,Spangle
the-lion-king,9,TheQuietGamer
piglets-big-movie,7,MovieGuys
chicago,8,Compi24
solaris,9,Spangle
solaris,7,Compi24
halloween-1978,9,MovieGuys
the-lion-king,10,SEROJ
daredevil,7,Thegodfatherson
the-lion-king,10,MovieGuys
the-lord-of-the-rings-the-two-towers,10,StevenF
the-haunting,7,JLuis_001
phone-booth,8,MovieGuys
phone-booth,7,StevenF
the-lord-of-the-rings-the-two-towers,9,Spangle
a-scanner-darkly,10,StevenF
the-lord-of-the-rings-the-two-towers,8,Compi24
the-illusionist,8,Spangle
crank,8,MovieGuys
halloween-1978,8,Spangle
the-lord-of-the-rings-the-two-towers,9,MovieGuys
gangs-of-new-york,8,Thegodfatherson
gangs-of-new-york,8,SEROJ
gangs-of-new-york,8,MovieGuys
invincible,7,Compi24
heaven,7,Spangle
blue-collar-comedy-tour-the-movie,8,TheQuietGamer
v-for-vendetta,9,StevenF
old-school,7,Compi24
about-schmidt,8,Spangle
about-schmidt,8,Compi24
the-waterboy,8,TheQuietGamer
v-for-vendetta,9,Spangle
miami-vice,7,Spangle
v-for-vendetta,8,Compi24
terminator-2-judgment-day,9,TheQuietGamer
bad-boys,7,Spangle
adaptation,10,MovieGuys
the-pianist,10,MovieGuys
liar-liar,8,StevenF
kundun,7,Spangle
catch-me-if-you-can,9,MovieGuys
this-boys-life,8,SEROJ
v-for-vendetta,7,SEROJ
the-hot-chick,8,SEROJ
equilibrium,8,Spangle
25th-hour,8,Spangle
the-people-vs-larry-flynt,9,MovieGuys
the-hunt-for-red-october,8,Spangle
liar-liar,7,Spangle
the-hunt-for-red-october,8,Compi24
the-hunt-for-red-october,7,MovieGuys
a-bugs-life,9,Compi24
the-pianist,9,Spangle
bloody-sunday,8,Compi24
the-pianist,9,Compi24
a-bugs-life,7,MovieGuys
velvet-goldmine,7,Spangle
little-big-man,7,Compi24
adaptation,8,Compi24
punch-drunk-love,9,BrianMcCritic
adaptation,10,Nesbitt10
v-for-vendetta,9,shiftworker
this-film-is-not-yet-rated,8,Compi24
catch-me-if-you-can,8,Spangle
employee-of-the-month,9,TheQuietGamer
terminator-2-judgment-day,8,Bruce722
punch-drunk-love,9,TheQuietGamer
king-kong,8,Compi24
terminator-2-judgment-day,8,Spangle
ran,10,Spangle
king-kong,7,MovieGuys
punch-drunk-love,7,Compi24
the-illusionist,9,shiftworker
cube,8,CountryPetInn
red-dragon,8,Spangle
far-from-heaven,8,Spangle
femme-fatale,8,Spangle
jackass-the-movie,8,TheQuietGamer
harry-potter-and-the-chamber-of-secrets,8,TheQuietGamer
the-marine,8,TheQuietGamer
who-framed-roger-rabbit,8,Spangle
equilibrium,7,Compi24
who-framed-roger-rabbit,8,MovieGuys
harry-potter-and-the-chamber-of-secrets,7,StevenF
harry-potter-and-the-chamber-of-secrets,7,Bruce722
baseketball,8,TheQuietGamer
8-mile,8,Spangle
three-colors-blue,9,Spangle
army-of-darkness,7,TheQuietGamer
8-mile,7,Compi24
8-mile,10,Thegodfatherson
army-of-darkness,7,Spangle
the-ring,10,Thegodfatherson
the-da-vinci-code,7,MovieGuys
road-to-perdition,8,Spangle
road-to-perdition,10,Compi24
harry-potter-and-the-chamber-of-secrets,10,SEROJ
road-to-perdition,8,StevenF
hollywoodland,7,Spangle
road-to-perdition,8,SEROJ
one-hour-photo,7,Spangle
lets-go-to-prison,9,TheQuietGamer
one-hour-photo,7,Compi24
the-ring,8,Spangle
stranger-than-fiction,8,StevenF
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,8,Compi24
my-big-fat-greek-wedding,8,Spangle
flags-of-our-fathers,8,Compi24
24-hour-party-people,8,Spangle
about-a-boy,8,StevenF
pretty-woman,8,Compi24
stranger-than-fiction,8,Compi24
little-miss-sunshine,10,StevenF
the-bourne-identity,7,Spangle
the-bourne-identity,9,Compi24
stranger-than-fiction,8,Spangle
back-to-the-future-part-iii,9,TheQuietGamer
back-to-the-future-part-ii,7,MovieGuys
the-bourne-identity,9,MovieGuys
back-to-the-future,8,MovieGuys
pirates-of-the-caribbean-dead-mans-chest,9,SEROJ
little-miss-sunshine,8,Spangle
back-to-the-future,8,TheQuietGamer
little-miss-sunshine,7,Compi24
back-to-the-future-part-iii,7,Compi24
xxx,8,Thegodfatherson
little-miss-sunshine,10,Thegodfatherson
back-to-the-future,9,StevenF
back-to-the-future-part-ii,7,TheQuietGamer
pirates-of-the-caribbean-dead-mans-chest,8,MovieGuys
signs,8,Spangle
signs,10,Compi24
xxx,8,TheQuietGamer
signs,9,BrianMcCritic
slums-of-beverly-hills,10,TheGeographer52
the-pursuit-of-happyness,8,StevenF
the-pursuit-of-happyness,7,Spangle
minority-report,8,Bruce722
ravenous,7,Spangle
ravenous,7,shiftworker
minority-report,7,Spangle
spirited-away,10,SEROJ
minority-report,9,Compi24
volver,9,Spangle
roman-holiday,9,Spangle
roman-holiday,7,Compi24
the-wraith,8,TheQuietGamer
lilo-stitch,10,MovieGuys
glengarry-glen-ross,9,Compi24
antz,7,MovieGuys
glengarry-glen-ross,8,Spangle
army-of-shadows,9,Spangle
the-piano-teacher,8,Nesbitt10
ice-age,9,TheQuietGamer
the-sum-of-all-fears,7,MovieGuys
the-big-lebowski,10,Compi24
the-last-king-of-scotland,9,Compi24
spider-man,9,StevenF
zodiac,9,MovieGuys
spirit-stallion-of-the-cimarron,7,MovieGuys
ice-age,10,SEROJ
spider-man,10,MovieGuys
zodiac,9,Spangle
zodiac,10,Compi24
the-lookout,7,Spangle
the-wind-that-shakes-the-barley,8,Spangle
star-wars-episode-ii---attack-of-the-clones,9,TheQuietGamer
mr-deeds,8,TheQuietGamer
et-the-extra-terrestrial,7,SEROJ
et-the-extra-terrestrial,7,MovieGuys
the-big-lebowski,10,Thegodfatherson
insomnia,9,StevenF
saturday-night-fever,10,Thegodfatherson
the-lookout,8,Compi24
insomnia,8,Spangle
insomnia,8,BrianMcCritic
insomnia,9,SEROJ
the-scorpion-king,9,TheQuietGamer
